Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link
13184,Rafael,Sapo,Natal,Middleweight,1594,21,9,1,False,,,Active,http://www.ufc.com/fighter/rafael-natal
497149,Frankie,,Saenz,Bantamweight,2304,13,5,0,False,,,Active,http://www.ufc.com/fighter/frankie-saenz
636494,Oskar,Imadlo,Piechota,Middleweight,2992,11,1,1,False,,,Active,http://www.ufc.com/fighter/oskar-piechota
659583,Josh,The Juggernaut,Appelt,Heavyweight,,15,7,0,False,,,Active,http://www.ufc.com/fighter/josh-appelt
242453,Trevor,Hot Sauce,Smith,Middleweight,1810,15,8,0,False,,,Active,http://www.ufc.com/fighter/trevor-smith
610965,Devin,,Powell,Lightweight,2841,9,3,0,False,,,Active,http://www.ufc.com/fighter/devin-powell
636538,Randall,Braveheart,Wallace,Middleweight,2993,15,7,0,False,,,Active,http://www.ufc.com/fighter/randall-wallace
659584,Chase,,Hooper,Featherweight,,5,0,0,False,,,Active,http://www.ufc.com/fighter/chase-hooper
1100,Jake,The Juggernaut,Ellenberger,Welterweight,965,31,15,0,False,,,Active,http://www.ufc.com/fighter/jake-ellenberger
307095,Josh,Anqa,Samman,Middleweight,2066,12,5,0,False,,,NotFighting,http://www.ufc.com/fighter/josh-samman
497232,Paige,12 Gauge,VanZant,Women_Flyweight,2305,7,4,0,False,,,Active,http://www.ufc.com/fighter/paige-vanzant
611131,Tyson,,Pedro,Light_Heavyweight,2840,7,1,0,False,,,Active,http://www.ufc.com/fighter/tyson-pedro
636913,Mads,,Burnell,Featherweight,3002,9,3,0,False,,,Active,http://www.ufc.com/fighter/mads-burnell
659585,Canaan,,Kawaihae,Featherweight,,4,1,0,False,,,Active,http://www.ufc.com/fighter/canaan-kawaihae
666386,Sergei,,Pavlovich,Heavyweight,,12,0,0,False,,,Active,http://www.ufc.com/fighter/sergei-pavlovich
803,Thales,,Leites,Middleweight,449,28,9,0,False,,,Active,http://www.ufc.com/fighter/thales-leites
242506,Yancy,,Medeiros,Welterweight,1481,15,5,0,False,,,Active,http://www.ufc.com/fighter/yancy-medeiros
469195,Li,The Leech,Jingliang,Welterweight,2206,14,5,0,False,,,Active,http://www.ufc.com/fighter/li-jingliang
480246,Leslie,The Peacemaker,Smith,Women_Bantamweight,2221,10,7,1,False,,,Active,http://www.ufc.com/fighter/leslie-smith
493738,Alan,Brahma,Jouban,Welterweight,2291,16,6,0,False,,,Active,http://www.ufc.com/fighter/alan-jouban
